mim	is_phenotype	date_fetched	umls_ids	orphanet_ids
100050	False	2025-03-25	C3149220	915
100070	False	2025-03-23	C0162871|C1853365	86
100100	True	2025-03-19	C0033770	2970
100200	False	2025-03-24	C4551519	
100300	True	2025-03-25	C4551482	974
100500	False	2025-03-24		
100600	False	2025-03-24	C0000889	
100640	False	2025-03-20	C1412333	
100650	False	2025-03-21	C1412335|C2608086|C2674838|C2676227|C2751719|C3149226|C5436906	
100660	False	2025-03-20	C1412336	
100670	False	2025-03-21	C1412338	
100675	False	2025-03-24	C1863486	
100678	False	2025-03-21	C1412112	
100680	False	2025-03-21		
100690	False	2025-03-21	C1413401|C1854678|C4084823|C4225405	
100700	False	2025-03-21	C1332135	
100710	False	2025-03-20	C1413407|C4225373|C4225374	
100720	False	2025-03-24	C1413411|C1854678|C4225370|C4225371|C4225372	
100725	False	2025-03-21	C1413412|C1837091|C4225369|C4225413|C4225652	
100730	False	2025-06-15	C0265261|C1413413|C1854678	
100735	False	2025-03-24		
100740	False	2025-03-25	C1412122|C4015737	
100790	False	2025-03-21	C1332009	
100800	True	2025-03-19	C0001080	15
100820	False	2025-03-23	C1863416	
100850	False	2025-03-20	C1412127|C3281192|C5774320|C5774321	
100880	False	2025-03-25	C1412126	
100900	False	2025-03-20		
101000	True	2025-03-19	C0027832	634475|637
101120	False	2025-03-21	C1275079	
101200	True	2025-03-19	C0001193	87
101400	True	2025-07-13	C0175699	794
101600	True	2025-03-20	C0220658	710|93258|93259|93260
101800	True	2025-03-19	C3276228	950
101805	False	2025-03-23	C2931762	1786
101840	False	2025-03-21	C1863343	
101850	False	2025-03-24	C0545044	38
101900	True	2025-03-19	C0265971	79151
102000	False	2025-03-24	C1863342	
102100	False	2025-03-20	C1321495	964
102150	False	2025-03-23	C0796280	965
102200	True	2025-03-19	C1863340|C2676191|C3489630|C4521132|C4538355	314777|96256|963|99725
102300	False	2025-03-25	C1876177	
102350	False	2025-03-24	C4023704	
102370	True	2025-03-19	C0265287	969
102400	False	2025-03-21	C0917990	955
102480	False	2025-06-15	C1412134|C5882687	
102490	False	2025-03-23		
102500	True	2025-03-19	C0917715|C1838257	955
102510	False	2025-03-21	C1863307	957
102520	False	2025-03-23	C3495490	971
102525	False	2025-03-23	C1412135	
102530	True	2025-03-20	C0403825|C4225503	171709|399808
102540	False	2025-03-20	C1825843|C2677506|C2748552|C3150681|C3150682	
102545	False	2025-06-15	C1332010|C5542197|C5543636	
102550	False	2025-03-24		
102560	False	2025-03-20	C1412149|C1858172|C3281235	
102565	False	2025-03-23	C1414637|C1836050|C3279722|C4310748|C4310749|C5830687|C5830688	
102570	False	2025-03-23		
102573	False	2025-06-15	C1412166|C2677338|C4225649|C4225650|C5203349|C5231445	
102574	False	2025-03-21	C1412167|C3888203|C3888204|C4015739|C5543684	
102575	False	2025-06-15	C1412165|C3554663	
102576	False	2025-06-15	C0016037|C1332012	
102577	False	2025-06-15	C1419351|C5975521	
102578	False	2025-03-24	C1366903	
102579	False	2025-06-15	C1419348|C3281223	
102581	False	2025-03-25	C1706636	
102582	False	2025-08-17	C1367307|C2936739|C4014795	
102590	False	2025-03-21		
102593	False	2025-03-24	C1412429	
102595	False	2025-03-23	C1412176	
