mim	is_phenotype	date_fetched	pmid_refs
100100	True	2025-03-19	4400845|6454342|31441039|4239017|6231862|7070906|14797335|7118560|4282027|3047433|4402425|27602|16145|156413|156252|15922438|144797|13328166|18388787|4231058|15912376|22077972|4150949|4382958|6128960
100640	True	2025-03-20	3943866|6723659|2591967|2987944|3013004|224930|26430123|6127541|2729894|17529981
100650	False	2025-03-21	7013538|1244489|3017845|15863807|10441588|18787169|16103363|2562960|2298906|20010786|22922648|11535626|1733836|6881146|3953578|511165|730161|6117742|6987864|4065146|3687946|2838413|2987944|7180842|8521389|18056758|21734703|16440063|15654505|16685648|6543304|8929946|7635462|33355142|15008789|17885622|10780266|870762|7126112|3189337|2777251|2014795|10627091|8903321|7593603|20729865|16046871|6582480|6650498|6724582
100660	True	2025-03-20	7774944|1737758|9391071|9027499|4073832|7228061|10780262
100670	False	2025-03-21	6985464|7774944|2061311
100678	False	2025-03-21	7904580|20597|1850510|8812443|2475872|7911016|3653076
100680	False	2025-03-21	
100690	False	2025-03-21	2221824|1694127|7863154|9158151|27626380|6287911|8872460|7910962|17687331|3022377|12454998|18633353|7902325|18806275|18252226|9221765|2423878|12827192|6688857|3651795|3338555|16685696|12588888|7619526|2558853|7254233|10195214|15079006
100700	False	2025-03-21	14430455|6082898
100710	True	2025-03-20	2740233|2221824|8872460|8651643|3022377|18252226|12827192|10562302|32504635
100725	False	2025-03-21	10534268|7688301|7863154|9097970|15471888|12141316|10514102|12087176|12417530|8957026|8872460|7538206|17853947|15367858|12481987|7902325|1881908|29189923|10496269|12827192|15322984|16087917|10211467|7531341|9158150|8755487|3651795|19064877|22592360|9443457|11030414|9839364|8232384|10962020|24295813|8917583
100790	False	2025-03-21	8719343|8390674|21725324|17141158|14532329|24925909|8221886|24179156|28746305|18173746|12050665|15071116|21617644|15133515|8595908|27418510|20107439|21753754
100800	True	2025-03-19	2783977|6359101|12816345|7263742|8279481|7968151|7847369|16922718|10445347|4461062|10360393|5917196|5298504|13372616|9326921|13885465|3688033|5699022|2899736|6881210|9326938|2991928|1670752|4061493|12923858|8081365|2899976|6707795|6627718|830446|474637|7137217|3631079|3228140|1785636|11186939|16912704|6733952|17764078|1632435|690757|16353253|10360392|9733026|8882783|16380966|19006207|9066881|6023888|8267011|8012398|23200862|5889028|2063907|18923003|4697848|10678665|7373371|5504223|18266238|3415202|458831|3005580|6507476|3746832|6660245|7887429|10375043|6707788|13243724|13507646|8432397|3236371|7438842|2162805|3425618|3223492|6507475|11343336|4989392|8078586|16411219|31269546|7913883|8923856|149212|11186940|3591840|2260574|2785882|15372518|7758520|9797588|3945286|12397172|15517832|8012397|1952787|5480962|18698630|8585566|8834055|7966194|17879967|868806|14702637|1453438
100850	True	2025-03-20	32519519|12198491|29577077|15247478|34056600|31765440|15692048|7192199|32449285|30118607|29564393|752476|25351951|9630632|31130284|26992325|30689204|1052766|879710|752478|752479|728065|22405087|28545339
100900	True	2025-03-20	
101000	True	2025-03-19	1456285|19476995|12136076|12235555|11732488|21451418|12473765|15190457|14569124|15994874|8318482|8451014|12960214|8304846|3100017|11342693|6798843|10569966|1484939|1479599|1479598|17307835|9643284|19880713|83481|20769855|11425952|9207339|2705922|6774282|9225971|10771486|7479890|9811917|3098672|2310328|4975015|3125435|7057963|2282716|17353411|12011146|5674095|3185841|14205096|5304294|1496982|3128965|7747758|8751853|1789288|3097542|4977648|9811925|35674741|7485365|8379998|2105641|2888021|8755919|8414026|3092103|3105060|805367|15235024|8102569|3134615|1496981|9863591|4990044
101120	False	2025-03-21	4253694
101200	True	2025-03-19	3742849|16969861|13801313|9664610|7674004|1303629|2405668|8456856|7573165|7645606|925743|8434630|13613870|5493837|4460868|12900791|2774006|23495236|5479478|16876521|1621762|10067911|1642807|7065003|9502772|16440883|3674108|20124286|8673103|9002682|9973282|7668257|3351902|25271085|7802047|16691624|8683284|3359672|5938051|2851938|8651276|4248541|9375719|2065493|10735635|7719344
101400	True	2025-03-19	5444587|4393456|7296937|4073118|8995765|1433226|7120316|12116251|11977182|11474656|8988167|862213|8988166|9792856|7450776|4643612|16251895|2845086|2769726|8188211|7977380|8698349|2002481|8968762|1756600|1227525|9585583|8064818|8266989|7987323|1877630|17437280|7783164|4145271|9792855
